Type,Block,ID,Replicate,Family,dam,sire,Height,MSL_W,SB,MSD,Area,P2A2,Circularity,Nindents.Peri,IndentWidthMean,IndentDepthMean
Dune,D3,D3-26,H,D3-A26,AD3-30,AD3-109,395,0.716216216,19,3.5,645.19,0.10716518,33.95,0.118365608,6.71,0.6
Dune,D1,D1-02,G,D1-A02,AD1-39A,AD1-101A,396,0.348754448,14,4.71,915.07,0.037410096,51.56,0.146900955,5.43,0.81
Dune,D1,D1-11,F,D1-A11,AD1-37,AD1-17,396,0.365671642,14,5.08,663.16,0.087986538,41.22,0.127090641,6.58,1.07
Dune,D3,D3-36,Z,D3-A36,AD3-131,AD3-103,396,0.472477064,16,4.02,492.84,0.0954966,35.2,0.137885752,5.98,0.73
Dune,D3,D3-15,G,D3-A15,AD3-15,AD3-100,396,0.344733242,17,4.46,789.22,0.077267685,31.94,0.113957517,7.21,0.61
Dune,D3,D3-05,G,D3-A05,AD3-126,AD3-106,397,0.301477833,15,4.43,1072.2,0.035948471,56.45,0.137734271,5.47,1.35
Dune,D3,D3-24,H,D3-A24,AD3-14,AD3-108,397,0.359255203,15,5.04,745.56,0.045939721,49.23,0.150187735,5.41,0.73
Dune,D3,D3-36,F,D3-A36,AD3-131,AD3-103,397,0.545649839,16,3.97,905.88,0.039421018,54.67,0.138996998,6.15,1.13
Dune,D1,D1-04,F,D1-A04,AD1-28,AD1-202A,397,0.567049808,16,5.36,948.08,0.070840599,41.18,0.095109773,7,1.47
Dune,D3,D3-14,Z,D3-A14,AD3-24,AD3-01,397,0.680898876,16,4.03,718.19,0.073547078,71.1,0.159162089,4.84,0.85
Dune,D1,D1-01,F,D1-A01,AD1-40,AD1-203A,398,0.24968789,13,4.98,1281.12,0.122122185,33.37,0.100513737,6.67,1.63
Dune,D1,D1-21,F,D1-A21,AD1-35,AD1-100A,398,0.481171548,16,4.72,1186.1,0.046478576,63.23,0.117320402,5.49,1.24
Dune,D3,D3-18,H,D3-A18,AD3-123,AD3-08,398,0.458139535,17,4.62,629.43,0.066922779,41.97,0.128968863,5.95,1.08
Dune,D3,D3-02,F,D3-A02,AD3-125,AD3-115,399,0.761768902,17,5.65,869.66,0.046662677,48.57,0.127754711,6.18,0.92
Dune,D1,D1-16,K,D1-A16,AD1-25,AD1-07,400,0.463136033,13,3.98,409.41,0.208669614,40.44,0.122981499,5.13,1.81
Dune,D3,D3-06,F,D3-A06,AD3-104,AD3-121,400,0.369387755,16,5.1,872.67,0.048401311,51.94,0.114589302,5.85,1.64
Dune,D3,D3-03,G,D3-A03,AD3-122,AD3-112,402,0.274611399,14,4.47,1058.19,0.026502815,46.38,0.13931619,6.03,0.57
Dune,D3,D3-35,H,D3-A35,AD3-15,AD3-04,403,0.404371585,16,4.21,940.77,0.059817543,49.96,0.130383763,5.07,1.18
Dune,D1,D1-08,F,D1-A08,AD1-30,AD1-20,404,0.299896587,15,5.84,623.28,0.221184227,32.48,0.109166581,5.79,1.68
Dune,D1,D1-30,G,D1-A30,AD1-40,AD1-18,404,0.324974925,16,5.44,686.01,0.10141051,39.28,0.128169917,5.96,1.38
Dune,D3,D3-11,G,D3-A11,AD3-27,AD3-105,405,0.269950739,14,4.5,870.29,0.054741019,43.33,0.162066595,5.06,0.83
Dune,D3,D3-10,F,D3-A10,AD3-28,AD3-101,405,0.286,15,5.22,1112.56,0.034727811,45.23,0.101287802,8.77,1.01
Dune,D1,D1-13,F,D1-A13,AD1-27,AD1-15,405,0.250428816,16,4.4,1085.34,0.073407475,46.91,0.105420662,6.18,1.38
Dune,D3,D3-36,H,D3-A36,AD3-131,AD3-103,407,0.625954198,15,4.48,1518.31,0.024975869,45.96,0.100020838,8.05,1.28
Dune,D3,D3-22,F,D3-A22,AD3-130,AD3-05,407,0.348082596,16,5.53,1407.76,0.042538916,53.74,0.110211813,6.14,1.6
Dune,D3,D3-28,F,D3-A28,AD3-24,AD3-105,408,0.412825651,12,3.84,697.68,0.095487094,37.89,0.115960852,5.59,1.03
