"","Focal","Other","NN","QGr","Rr","LRr","Wr"
"515","7","N1","0",-0.05,0.064,0.003,-0.069
"516","7","N2","0",0.025,0.028,-0.012,-0.038
"517","7","N6","0",-0.08,0.019,-0.016,-0.131
"518","7","N3","0",-0.027,0.015,-0.018,-0.113
"519","7","N5","0",-0.08,0.025,-0.014,-0.126
"520","7","N8","0",0.185,0.074,-0.001,0.107
"521","8","9","0",-0.143,0.007,-0.05,-0.107
"522","8","12","0",-0.009,0.018,-0.032,-0.057
"523","8","13","0",-0.082,0.022,-0.04,-0.105
"524","8","14","0",-0.168,0.006,-0.048,-0.144
"525","8","15","0",-0.11,0.022,-0.034,-0.069
"526","8","16","0",-0.014,0.081,0.029,0.046
"527","8","17","0",0.05,0.071,0.018,0.079
"528","8","20","0",0.198,0.064,0.01,0.069
"529","8","21","0",-0.118,0.021,-0.041,-0.056
"530","8","22","0",-0.078,0.016,-0.042,-0.054
"531","8","23","0",0.114,0.037,-0.019,-0.012
"532","8","24","0",0.075,0.057,-0.003,0.062
"533","8","26","0",0.085,0.05,-0.016,-0.032
"534","8","27","0",0.018,0.057,0.003,0.042
"535","8","28","0",0.05,0.031,-0.025,0.005
"536","8","29","0",0.073,0.064,0.017,0.063
"537","8","30","0",-0.014,0.104,0.053,0.03
"538","8","32","0",-0.123,0.03,-0.021,-0.068
"539","8","37","0",-0.044,0.228,0.143,-0.047
"540","8","39","0",-0.136,-0.006,-0.048,-0.147
"541","8","40","0",-0.003,0.028,-0.025,-0.043
"542","8","43","0",-0.273,0.031,-0.024,-0.12
"543","8","45","0",-0.078,0.015,-0.042,-0.094
"544","8","46","0",-0.014,0.02,-0.037,-0.064
"545","8","47","0",-0.078,0.092,0.041,-0.002
"546","8","48","0",-0.009,0.03,-0.032,-0.02
"547","8","49","0",-0.11,0.011,-0.046,-0.085
"548","8","50","0",-0.014,0.042,-0.013,-0.063
"549","8","51","0",0.179,0.179,0.134,0.083
"550","8","52","0",0.069,0.028,-0.024,-0.034
"551","8","53","0",0.082,0.064,0.011,0.055
"552","8","54","0",0.179,0.073,0.02,0.073
"553","8","55","0",0.043,0.039,-0.017,-0.028
"554","8","56","0",0.136,0.061,0.001,0.106
"555","8","58","0",0.114,0.099,0.048,0.06
"556","8","59","0",-0.024,0.025,-0.027,0.001
"557","8","60","0",-0.207,0.022,-0.035,-0.102
"558","8","66","0",0.016,0.023,-0.033,-0.034
"559","8","67","0",-0.11,0.018,-0.039,-0.101
"560","8","68","0",0.043,0.034,-0.021,0.024
"561","8","69","0",0.151,0.069,0.017,0.055
"562","8","70","0",-0.108,0.005,-0.059,-0.091
"563","8","71","0",-0.143,0.008,-0.05,-0.108
"564","8","72","0",0.109,0.077,0.021,0.081
"565","8","73","0",0.205,0.152,0.085,0.142
"566","8","74","0",0.114,0.043,-0.016,0.026
"567","8","75","0",-0.002,0.015,-0.028,-0.037
"568","8","76","0",0.018,0.032,-0.024,0.015
"569","8","77","0",0.07,0.12,0.06,0.076
"570","8","78","0",-0.151,0.014,-0.034,-0.109
"571","8","79","0",-0.156,0.015,-0.037,-0.092
"572","8","80","0",-0.003,0.062,0.008,0.01
"573","8","81","0",-0.014,0.037,-0.019,0.015
"574","8","82","0",0.147,0.049,-0.005,0.051
"575","8","83","0",0.05,0.061,0.007,-0.019
"576","8","84","0",0.031,0.027,-0.027,-0.072
"577","8","85","0",-0.046,0.025,-0.031,-0.023
"578","8","86","0",-0.066,0.006,-0.034,-0.126
"579","8","2D","0",0.098,0.044,-0.01,0.028
"580","8","N1","0",-0.095,0.021,-0.035,-0.09
"581","8","N2","0",0.018,0.025,-0.032,-0.02
"582","8","N6","0",-0.046,0.033,-0.023,-0.036
"583","8","N3","0",0.018,0.03,-0.026,-0.034
"584","8","N5","0",-0.014,0.118,0.068,0.058
"585","8","N8","0",0.212,0.145,0.092,0.162
"586","9","12","0",-0.033,0.001,-0.018,-0.124
"587","9","13","0",-0.102,0.025,-0.013,-0.155
"588","9","14","0",0.084,0.049,-0.003,-0.034
"589","9","15","0",-0.017,0.016,-0.016,-0.116
"590","9","16","0",-0.095,-0.002,-0.023,-0.148
"591","9","17","0",-0.069,0.002,-0.022,-0.137
"592","9","20","0",-0.047,0.006,-0.028,-0.122
"593","9","21","0",-0.016,0.031,-0.011,-0.09
"594","9","22","0",0.009,0.107,0.022,-0.08
"595","9","23","0",0.086,0.114,0.025,-0.055
"596","9","24","0",-0.043,0.019,-0.018,-0.13
"597","9","26","0",0.163,0.055,-0.003,-0.004
"598","9","27","0",0.009,0.115,0.025,-0.054
"599","9","28","0",-0.017,0.017,-0.015,-0.107
"600","9","29","0",0.032,0.01,-0.014,-0.105
"601","9","30","0",0.06,0.045,-0.004,-0.016
"602","9","32","0",0.042,0.059,0.004,-0.021
"603","9","37","0",0.013,0.036,-0.011,-0.054
"604","9","39","0",-0.027,-0.006,-0.017,-0.147
"605","9","40","0",-0.133,-0.008,-0.036,-0.204
"606","9","43","0",-0.077,0.013,-0.017,-0.147
"607","9","45","0",-0.095,-0.002,-0.023,-0.172
"608","9","46","0",-0.043,0.003,-0.021,-0.142
"609","9","47","0",-0.172,0.005,-0.021,-0.216
"610","9","48","0",0.016,0.113,0.022,0.015
"611","9","49","0",0.035,0.019,-0.015,-0.082
"612","9","50","0",0.086,0.203,0.062,0.006
"613","9","52","0",0.021,0.01,-0.017,-0.088
"614","9","53","0",-0.069,-0.001,-0.023,-0.151
"615","9","54","0",-0.043,0.004,-0.021,-0.14
"616","9","55","0",0.18,0.042,-0.005,-0.009
"617","9","56","0",0.013,0.03,-0.012,-0.081
"618","9","58","0",0.009,0.149,0.039,-0.069
"619","9","59","0",-0.012,0.007,-0.018,-0.101
"620","9","60","0",-0.069,0.01,-0.019,-0.15
"621","9","66","0",-0.01,0.065,0.004,-0.102
"622","9","67","0",0.164,0.129,0.031,0.005
"623","9","68","0",-0.045,0.097,0.017,-0.122
"624","9","69","0",-0.068,0.002,-0.023,-0.171
"625","9","70","0",0.044,0.061,0.005,0.012
"626","9","71","0",0.06,0.043,-0.005,-0.023
"627","9","72","0",-0.01,0.028,-0.015,-0.104
"628","9","73","0",0.06,0.124,0.039,-0.027
"629","9","74","0",0.05,0.125,0.022,-0.044
"630","9","75","0",-0.001,0.004,-0.023,-0.084
"631","9","76","0",-0.069,-0.002,-0.023,-0.149
"632","9","77","0",-0.078,0,-0.03,-0.152
"633","9","78","0",-0.072,0.004,-0.026,-0.113
"634","9","79","0",-0.119,-0.009,-0.024,-0.183
"635","9","80","0",-0.133,0.016,-0.022,-0.169
"636","9","81","0",0.009,0.063,0.004,-0.036
"637","9","82","0",0.086,0.087,0.013,0.011
"638","9","83","0",0.086,0.031,-0.01,-0.057
"639","9","84","0",-0.076,0.002,-0.03,-0.16
"640","9","85","0",0.009,0.013,-0.017,-0.069
"641","9","86","0",-0.127,-0.017,-0.019,-0.25
"642","9","2D","0",-0.018,0.026,-0.016,-0.097
"643","9","N1","0",0.05,0.03,-0.009,-0.068
"644","9","N2","0",0.086,0.055,0,0.023
"645","9","N6","0",-0.095,0.004,-0.021,-0.167
"646","9","N3","0",-0.043,0.001,-0.022,-0.137
"647","9","N5","0",0.06,0.036,-0.008,-0.06
"648","9","N8","0",-0.044,0.009,-0.022,-0.124
"649","12","13","0",-0.004,0.044,-0.007,-0.073
"650","12","14","0",-0.107,-0.003,-0.055,-0.167
"651","12","15","0",0.024,0.036,-0.016,-0.009
"652","12","16","0",0.024,0.051,0.001,0.014
"653","12","17","0",-0.088,0.021,-0.033,-0.113
"654","12","20","0",-0.01,0.012,-0.038,-0.079
"655","12","21","0",-0.06,0.019,-0.035,-0.083
"656","12","22","0",0.052,0.045,-0.006,-0.007
"657","12","23","0",0.052,0.029,-0.024,-0.026
"658","12","24","0",0.001,0.044,-0.021,-0.057
"659","12","26","0",0.072,0.041,-0.026,-0.005
"660","12","27","0",0.052,0.051,0,0.013
"661","12","28","0",0.052,0.036,-0.016,-0.01
"662","12","29","0",-0.079,0.001,-0.075,-0.139
"663","12","30","0",-0.144,-0.005,-0.062,-0.166
"664","12","32","0",-0.116,0,-0.057,-0.158
"665","12","37","0",-0.056,0.005,-0.044,-0.152
"666","12","39","0",-0.027,0.231,0.184,-0.015
"667","12","40","0",0.054,0.055,0.006,-0.055
"668","12","43","0",-0.242,-0.017,-0.069,-0.282
"669","12","45","0",-0.088,0.021,-0.033,-0.113
"670","12","46","0",-0.004,0.07,0.022,-0.011
"671","12","47","0",-0.172,-0.006,-0.064,-0.211
"672","12","48","0",-0.029,0.024,-0.036,-0.077
"673","12","49","0",0.052,0.036,-0.016,-0.01
"674","12","50","0",-0.004,0.033,-0.02,-0.055
"675","12","51","0",0.164,0.143,0.103,0.111
"676","12","52","0",0.108,0.054,0.004,0.026
"677","12","53","0",-0.06,0.05,0,-0.086
"678","12","54","0",0.22,0.179,0.144,0.207
"679","12","55","0",-0.04,0.012,-0.04,-0.097
"680","12","56","0",0.024,0.037,-0.015,-0.019
"681","12","58","0",0.024,0.022,-0.031,-0.042
"682","12","59","0",0.052,0.051,0,0.013
"683","12","60","0",-0.228,-0.017,-0.075,-0.263
"684","12","66","0",0.052,0.036,-0.016,-0.01
"685","12","67","0",-0.116,-0.005,-0.062,-0.167
"686","12","68","0",-0.04,0.01,-0.042,-0.106
"687","12","69","0",-0.178,-0.003,-0.097,-0.207
"688","12","70","0",0.018,0.073,0.026,0.002
"689","12","71","0",0.136,0.077,0.03,0.089
"690","12","72","0",-0.01,0.02,-0.03,-0.062
"691","12","73","0",0.184,0.089,0.033,0.048
"692","12","74","0",0.031,0.038,-0.01,-0.031
"693","12","75","0",-0.01,0.02,-0.03,-0.062
"694","12","76","0",0.052,0.088,0.042,0.029
"695","12","77","0",0.054,0.085,0.036,0.039
"696","12","78","0",-0.074,0.102,0.053,-0.126
"697","12","79","0",-0.06,0.097,0.052,-0.099
"698","12","80","0",-0.17,-0.009,-0.059,-0.202
"699","12","81","0",-0.116,-0.005,-0.062,-0.167
"700","12","82","0",-0.004,0.018,-0.036,-0.057
"701","12","83","0",-0.116,0.002,-0.055,-0.151
"702","12","84","0",0.117,0.069,0.02,0.01
"703","12","85","0",0.08,0.057,0.007,0.056
"704","12","86","0",-0.12,-0.014,-0.052,-0.178
"705","12","2D","0",0.022,0.027,-0.023,-0.014
"706","12","N1","0",-0.004,0.069,0.021,-0.007
"707","12","N2","0",0.08,0.042,-0.009,0.033
"708","12","N6","0",-0.032,0.121,0.079,-0.012
"709","12","N3","0",-0.06,0.015,-0.04,-0.092
"710","12","N5","0",0.136,0.092,0.046,0.065
"711","13","14","0",-0.041,0.06,-0.001,-0.105
"712","13","15","0",-0.035,0.038,-0.013,-0.091
"713","13","16","0",0.01,0.045,-0.009,-0.009
"714","13","17","0",0.01,0.033,-0.016,-0.079
"715","13","20","0",-0.043,0.096,0.018,-0.101
"716","13","21","0",0.054,0.053,-0.004,0.011
"717","13","22","0",0.032,0.069,0.005,0.046
"718","13","23","0",0.01,0.032,-0.016,-0.105
"719","13","24","0",0.021,0.047,-0.01,-0.045
"720","13","26","0",-0.027,0.028,-0.016,-0.191
"721","13","27","0",0.01,0.044,-0.01,-0.042
"722","13","28","0",0.143,0.071,0.006,0.061
"723","13","29","0",0.021,0.039,-0.025,0.012
"724","13","30","0",-0.035,0.06,0,0
"725","13","32","0",0.013,0.083,0.016,-0.016
"726","13","37","0",0.077,0.096,0.01,0.072
"727","13","39","0",0.031,0.033,-0.026,-0.032
"728","13","40","0",0.007,0.114,0.027,-0.074
"729","13","43","0",-0.067,0.027,-0.018,-0.163
"730","13","45","0",-0.079,0.012,-0.028,-0.178
"731","13","46","0",-0.035,0.031,-0.017,-0.112
"732","13","47","0",-0.079,0.013,-0.027,-0.161
"733","13","48","0",0.071,0.095,0.016,0.127
"734","13","49","0",0.054,0.059,-0.001,-0.024
"735","13","50","0",-0.169,-0.003,-0.036,-0.263
"736","13","51","0",-0.079,0.017,-0.025,-0.193
"737","13","53","0",-0.124,0.004,-0.033,-0.207
"738","13","54","0",0.054,0.06,0,-0.038
"739","13","55","0",-0.067,0.019,-0.022,-0.195
"740","13","56","0",0.032,0.045,-0.009,-0.005
"741","13","58","0",0.01,0.032,-0.016,-0.105
"742","13","59","0",0.061,0.052,-0.002,0.001
"743","13","60","0",-0.102,0.024,-0.021,-0.103
"744","13","66","0",0.159,0.07,0.008,0.054
"745","13","67","0",-0.035,0.03,-0.018,-0.143
"746","13","68","0",0.113,0.074,0.005,0.083
"747","13","69","0",-0.027,0.022,-0.018,-0.173
"748","13","70","0",-0.072,0.036,-0.011,-0.084
"749","13","71","0",-0.013,0.075,0.009,-0.008
"750","13","72","0",0.173,0.089,0.017,0.148
"751","13","73","0",-0.022,0.023,-0.018,-0.158
"752","13","74","0",0.013,0.036,-0.04,-0.024
"753","13","75","0",0.171,0.075,0.012,0.111
"754","13","76","0",0.077,0.061,0,0.047
"755","13","77","0",0.146,0.076,0.011,0.105
"756","13","78","0",-0.154,-0.008,-0.032,-0.248
"757","13","79","0",-0.134,0,-0.031,-0.212
"758","13","80","0",0.007,0.03,-0.016,-0.106
"759","13","81","0",-0.079,0.017,-0.025,-0.121
"760","13","82","0",0.032,0.059,-0.001,0
"761","13","83","0",-0.079,0.014,-0.027,-0.191
"762","13","84","0",-0.092,0.03,-0.016,-0.119
"763","13","85","0",-0.035,0.037,-0.013,-0.07
"764","13","86","0",-0.134,0.006,-0.071,-0.126
"765","13","2D","0",0.081,0.067,0.003,0.054
"766","13","N1","0",-0.134,0,-0.031,-0.212
"767","13","N2","0",0.077,0.079,0.011,0.071
"768","13","N6","0",0.01,0.036,-0.014,-0.079
"769","13","N3","0",0.099,0.198,0.079,0.057
"770","13","N5","0",-0.102,0.04,-0.012,-0.106
"771","13","N8","0",0.108,0.077,0.001,0.032
"772","14","15","0",0.095,0.11,0.045,0.083
"773","14","16","0",0.019,0.052,-0.003,-0.022
"774","14","17","0",-0.057,0.026,-0.025,-0.095
"775","14","20","0",-0.037,0.08,0.04,-0.033
"776","14","21","0",-0.031,0.098,0.027,-0.029
"777","14","22","0",0.044,0.035,-0.017,-0.029
"778","14","23","0",-0.159,-0.008,-0.054,-0.223
"779","14","24","0",0.083,0.075,0.01,0.039
"780","14","26","0",0.097,0.068,0.001,-0.012
"781","14","27","0",0.019,0.182,0.106,-0.056
"782","14","28","0",-0.057,0.011,-0.038,-0.134
"783","14","29","0",0.054,0.028,-0.014,-0.054
"784","14","30","0",0.145,0.09,0.029,0.111
"785","14","32","0",0.23,0.138,0.076,0.184
"786","14","37","0",-0.098,0.013,-0.062,-0.108
"787","14","39","0",0.123,0.044,-0.004,-0.005
"788","14","40","0",0.058,0.055,-0.001,-0.008
"789","14","43","0",0.069,0.062,0.005,-0.008
"790","14","45","0",-0.159,0.007,-0.041,-0.184
"791","14","46","0",-0.159,-0.008,-0.054,-0.223
"792","14","47","0",-0.184,-0.004,-0.05,-0.22
"793","14","48","0",-0.134,0.027,-0.024,-0.15
"794","14","49","0",0.12,0.052,-0.003,-0.005
"795","14","50","0",-0.159,-0.008,-0.054,-0.223
"796","14","51","0",-0.007,0.02,-0.03,-0.109
"797","14","52","0",-0.142,-0.007,-0.048,-0.179
"798","14","53","0",-0.032,0.069,0.011,-0.06
"799","14","54","0",-0.057,0.012,-0.036,-0.131
"800","14","55","0",0.145,0.072,0.014,0.025
"801","14","56","0",-0.059,0.028,-0.028,-0.117
"802","14","58","0",-0.159,-0.008,-0.054,-0.223
"803","14","59","0",0.068,0.037,-0.012,-0.022
"804","14","60","0",0.019,0.051,-0.004,-0.026
"805","14","66","0",0.08,0.061,0.003,0.022
"806","14","67","0",0.145,0.066,0.008,0.031
"807","14","68","0",0.069,0.111,0.047,0.002
"808","14","69","0",-0.038,0.035,-0.017,-0.086
"809","14","70","0",-0.039,0.042,-0.018,-0.04
"810","14","71","0",0.044,0.087,0.026,0.008
"811","14","72","0",0.109,0.069,0.027,0.077
"812","14","73","0",-0.194,-0.007,-0.102,-0.209
"813","14","74","0",-0.084,0.02,-0.03,-0.152
"814","14","75","0",0.25,0.068,0.042,0.121
"815","14","76","0",0.095,0.118,0.052,0.064
"816","14","77","0",0.03,0.043,-0.032,-0.044
"817","14","78","0",-0.116,0.012,-0.068,-0.102
"818","14","79","0",-0.148,-0.004,-0.047,-0.183
"819","14","80","0",-0.1,0.019,-0.06,-0.132
"820","14","81","0",0.044,0.071,0.012,0.029
"821","14","82","0",-0.007,0.068,0.01,-0.05
"822","14","83","0",-0.007,0.026,-0.025,-0.117
"823","14","84","0",-0.131,0.07,0.024,-0.156
"824","14","85","0",0.019,0.029,-0.022,-0.042
"825","14","86","0",-0.023,0.049,-0.001,-0.071
"826","14","2D","0",0.026,0.03,-0.041,-0.05
"827","14","N2","0",0.095,0.1,0.037,0.078
"828","14","N6","0",-0.007,0.033,-0.019,-0.083
"829","14","N3","0",-0.108,0,-0.047,-0.181
"830","14","N5","0",-0.032,0.022,-0.028,-0.111
"831","14","N8","0",0.027,0.182,0.091,0.004
"832","15","16","0",0.073,0.116,0.067,0.073
"833","15","17","0",-0.058,0.091,0.04,0.012
"834","15","20","0",0.002,0.053,-0.001,-0.051
"835","15","21","0",-0.012,0.053,-0.007,0.026
"836","15","22","0",0.007,0.036,-0.02,-0.034
"837","15","23","0",-0.026,0.019,-0.039,-0.103
"838","15","24","0",0.014,0.056,-0.009,-0.009
"839","15","26","0",0.153,0.063,0,-0.022
"840","15","27","0",-0.091,0.037,-0.019,-0.043
"841","15","28","0",0.172,0.121,0.072,0.158
"842","15","29","0",-0.072,0.011,-0.097,-0.106
"843","15","30","0",0.172,0.143,0.097,0.157
"844","15","32","0",0.165,0.082,0.034,0.086
"845","15","37","0",0.01,0.038,-0.013,-0.046
"846","15","39","0",-0.171,-0.002,-0.049,-0.141
"847","15","40","0",0.002,0.04,-0.014,-0.034
"848","15","43","0",0.039,0.067,0.01,0.003
"849","15","45","0",-0.157,0.014,-0.044,-0.091
"850","15","46","0",-0.058,0.052,-0.002,-0.012
"851","15","47","0",-0.157,0.032,-0.024,-0.107
"852","15","48","0",-0.081,0.032,-0.025,-0.068
"853","15","50","0",-0.124,0.02,-0.037,-0.126
"854","15","51","0",-0.026,0.023,-0.034,-0.103
"855","15","52","0",0.064,0.039,-0.013,-0.023
"856","15","53","0",-0.157,0.022,-0.035,-0.137
"857","15","54","0",0.04,0.038,-0.018,-0.05
"858","15","55","0",0.145,0.07,0.014,0.024
"859","15","56","0",-0.048,0.031,-0.028,-0.069
"860","15","58","0",-0.026,0.034,-0.023,-0.079
"861","15","59","0",0.031,0.034,-0.017,-0.008
"862","15","60","0",0.007,0.054,-0.001,-0.01
"863","15","66","0",0.164,0.108,0.05,0.145
"864","15","67","0",0.139,0.112,0.062,0.093
"865","15","68","0",0.003,0.1,0.043,-0.019
"866","15","69","0",-0.112,0.037,-0.037,-0.04
"867","15","70","0",-0.111,0.017,-0.035,-0.053
"868","15","71","0",0.073,0.043,-0.012,-0.001
"869","15","72","0",0.009,0.045,-0.008,0.004
"870","15","73","0",-0.087,0.008,-0.042,-0.142
"871","15","74","0",-0.024,0.038,-0.022,-0.042
"872","15","75","0",0.105,0.043,-0.002,0.051
"873","15","76","0",0.007,0.071,0.018,0.032
"874","15","77","0",-0.035,0.038,-0.015,-0.077
"875","15","78","0",-0.049,0.039,-0.01,-0.036
"876","15","79","0",-0.103,0.031,-0.021,-0.073
"877","15","80","0",-0.113,0.031,-0.023,-0.06
"878","15","81","0",0.007,0.084,0.032,0.044
"879","15","82","0",-0.091,0.017,-0.04,-0.072
"880","15","83","0",0.007,0.042,-0.014,-0.005
"881","15","84","0",-0.189,-0.003,-0.057,-0.191
"882","15","85","0",0.007,0.031,-0.026,-0.005
"883","15","86","0",0.062,0.121,0.056,-0.001
"884","15","2D","0",-0.113,0.012,-0.042,-0.098
"885","15","N1","0",0.089,0.086,0.03,0.088
"886","15","N2","0",0.106,0.071,0.018,0.091
"887","15","N6","0",0.007,0.039,-0.017,-0.037
"888","15","N3","0",-0.124,0.031,-0.026,-0.064
"889","15","N5","0",0.007,0.036,-0.02,-0.036
"890","15","N8","0",0.051,0.06,-0.005,-0.002
"891","16","17","0",0.148,0.184,0.119,0.162
"892","16","20","0",-0.01,0.02,-0.029,-0.055
"893","16","21","0",-0.091,0.019,-0.039,0.013
"894","16","22","0",0.02,0.05,-0.004,0.014
"895","16","23","0",-0.012,0.017,-0.034,-0.076
"896","16","24","0",0.162,0.074,0.014,0.124
"897","16","26","0",-0.015,0.027,-0.035,-0.118
"898","16","27","0",-0.012,0.027,-0.025,-0.003
"899","16","28","0",0.02,0.023,-0.028,-0.012
"900","16","29","0",-0.06,0.005,-0.04,-0.064
"901","16","30","0",0.02,0.112,0.052,0.037
"902","16","32","0",0.01,0.039,-0.009,0.014
"903","16","37","0",-0.095,0.009,-0.045,-0.102
"904","16","39","0",-0.076,0.009,-0.053,-0.085
"905","16","40","0",0.092,0.057,0.003,0.016
"906","16","43","0",-0.03,0.098,0.04,0.009
"907","16","45","0",0.148,0.198,0.131,0.154
"908","16","46","0",-0.076,0.012,-0.039,-0.083
"909","16","47","0",-0.141,0.081,0.024,-0.093
"910","16","48","0",-0.063,0.014,-0.036,-0.035
"911","16","49","0",-0.012,0.024,-0.028,-0.034
"912","16","50","0",-0.109,0.012,-0.038,-0.126
"913","16","51","0",-0.012,0.022,-0.03,-0.087
"914","16","52","0",-0.006,0.023,-0.031,-0.045
"915","16","53","0",-0.076,0.012,-0.039,-0.088
"916","16","54","0",0.148,0.102,0.043,0.1
"917","16","55","0",0.076,0.054,-0.002,-0.009
"918","16","56","0",0.078,0.05,-0.009,0.063
"919","16","58","0",-0.012,0.092,0.034,-0.047
"920","16","59","0",0.01,0.026,-0.021,0.003
"921","16","60","0",-0.141,0.017,-0.034,-0.094
"922","16","66","0",0.153,0.054,-0.001,0.097
"923","16","67","0",-0.044,0.024,-0.027,-0.061
"924","16","68","0",0.005,0.023,-0.03,-0.009
"925","16","69","0",-0.02,0.029,-0.023,0.005
"926","16","70","0",-0.138,-0.004,-0.045,-0.135
"927","16","71","0",-0.012,0.05,-0.004,-0.011
"928","16","72","0",0.123,0.05,-0.004,0.077
"929","16","73","0",0.122,0.121,0.056,0.051
"930","16","74","0",0.109,0.059,-0.001,0.096
"931","16","75","0",0.095,0.04,-0.005,0.052
"932","16","76","0",0.052,0.04,-0.013,0.033
"933","16","77","0",0.029,0.027,-0.024,-0.005
"934","16","78","0",-0.195,-0.01,-0.049,-0.15
"935","16","79","0",-0.186,-0.007,-0.051,-0.13
"936","16","80","0",-0.078,0.013,-0.035,-0.088
"937","16","81","0",-0.109,0.007,-0.043,-0.08
"938","16","82","0",0.02,0.038,-0.015,-0.029
"939","16","83","0",-0.109,0.008,-0.043,-0.107
"940","16","84","0",-0.044,0.025,-0.024,-0.1
"941","16","85","0",0.02,0.153,0.09,0.042
"942","16","86","0",0.067,0.06,0.009,0.02
"943","16","2D","0",0.024,0.026,-0.024,-0.006
"944","16","N1","0",-0.15,0.006,-0.045,-0.089
"945","16","N6","0",-0.044,0.021,-0.031,-0.069
"946","16","N3","0",-0.076,0.01,-0.04,-0.079
"947","16","N5","0",-0.044,0.034,-0.018,-0.066
"948","16","N8","0",0.066,0.038,-0.025,0.039
"949","17","20","0",-0.072,0.015,-0.062,-0.083
"950","17","21","0",0.011,0.072,0.017,0.074
"951","17","22","0",-0.166,0.023,-0.051,-0.097
"952","17","23","0",0.03,0.022,-0.052,-0.078
"953","17","24","0",0.179,0.083,0.049,0.109
"954","17","26","0",-0.035,0.079,0.032,-0.087
"955","17","27","0",-0.048,0.029,-0.041,-0.052
"956","17","28","0",0.187,0.114,0.097,0.083
"957","17","29","0",-0.051,0.016,-0.084,-0.051
"958","17","30","0",0.069,0.129,0.121,0.102
"959","17","32","0",-0.007,0.052,0.002,0.036
"960","17","37","0",-0.023,0.021,-0.046,-0.077
"961","17","39","0",0.092,0.068,0.032,-0.006
"962","17","40","0",0.016,0.042,-0.019,-0.027
"963","17","43","0",-0.168,0.05,-0.009,-0.035
"964","17","45","0",0.147,0.114,0.096,0.095
"965","17","46","0",0.03,0.027,-0.044,-0.026
"966","17","47","0",-0.088,0.039,-0.026,-0.035
"967","17","48","0",-0.077,0.016,-0.065,-0.043
"968","17","49","0",-0.048,0.046,-0.013,-0.014
"969","17","50","0",-0.009,0.045,-0.016,-0.057
"970","17","51","0",-0.205,0.003,-0.083,-0.167
"971","17","52","0",0.05,0.059,0.013,0
"972","17","53","0",-0.088,0.015,-0.063,-0.079
"973","17","54","0",-0.048,0.048,-0.01,-0.053
"974","17","55","0",0.188,0.132,0.118,0.111
"975","17","56","0",0.233,0.076,0.024,0.137
"976","17","58","0",0.069,0.121,0.107,0.014
"977","17","59","0",-0.007,0.026,-0.039,-0.029
"978","17","60","0",-0.205,0.014,-0.065,-0.09
"979","17","66","0",0.071,0.031,-0.035,-0.001
"980","17","67","0",0.03,0.039,-0.025,-0.024
"981","17","68","0",0.055,0.033,-0.035,-0.006
"982","17","69","0",0.111,0.047,-0.016,0.059
"983","17","70","0",-0.056,0.04,-0.019,0.005
"984","17","71","0",-0.127,0.034,-0.032,-0.076
"985","17","72","0",0.122,0.036,-0.027,0.024
"986","17","73","0",0.246,0.097,0.062,0.081
"987","17","74","0",0.271,0.113,0.091,0.145
"988","17","75","0",0.051,0.02,-0.038,-0.011
"989","17","76","0",0.147,0.066,0.018,0.087
"990","17","77","0",0.122,0.054,-0.002,0.021
"991","17","78","0",-0.347,-0.01,-0.093,-0.15
"992","17","79","0",-0.33,-0.011,-0.098,-0.167
"993","17","80","0",-0.028,0.036,-0.029,-0.026
"994","17","81","0",-0.088,0.016,-0.062,-0.053
"995","17","82","0",0.147,0.066,0.02,0.081
"996","17","83","0",0.147,0.076,0.036,0.07
"997","17","84","0",-0.028,0.032,-0.035,-0.081
"998","17","85","0",-0.048,0.061,0.011,-0.004
"999","17","86","0",0.07,0.039,-0.017,-0.006
"1000","17","2D","0",0.016,0.033,-0.034,-0.022
"1001","17","N1","0",-0.25,0.001,-0.079,-0.136
"1002","17","N2","0",-0.048,0.02,-0.055,-0.035
"1003","17","N6","0",-0.205,0.005,-0.08,-0.141
"1004","17","N5","0",-0.088,0.062,0.013,-0.05
"1005","17","N8","0",0.02,0.032,-0.061,-0.012
"1006","20","21","0",-0.127,0.097,0.061,-0.048
"1007","20","22","0",0.103,0.148,0.135,0.079
"1008","20","23","0",0.023,0.027,-0.039,-0.072
"1009","20","24","0",0.001,0.03,-0.049,-0.04
"1010","20","26","0",0.028,0.047,-0.04,-0.06
"1011","20","27","0",-0.003,0.022,-0.046,-0.048
"1012","20","28","0",0.023,0.052,-0.002,-0.016
"1013","20","29","0",-0.042,0.007,-0.059,-0.072
"1014","20","30","0",0.023,0.06,0.008,-0.024
"1015","20","32","0",-0.18,0.015,-0.05,-0.143
"1016","20","37","0",-0.149,-0.003,-0.072,-0.174
"1017","20","39","0",-0.049,0.024,-0.034,-0.038
"1018","20","40","0",0.103,0.087,0.047,0.041
"1019","20","43","0",-0.235,0,-0.076,-0.195
"1020","20","45","0",-0.083,0.011,-0.061,-0.12
"1021","20","46","0",0.023,0.056,0.002,0.002
"1022","20","47","0",-0.109,0.012,-0.06,-0.12
"1023","20","48","0",0.006,0.094,0.048,0.016
"1024","20","49","0",-0.109,0.008,-0.066,-0.12
"1025","20","50","0",-0.056,0.031,-0.033,-0.09
"1026","20","51","0",0.076,0.045,-0.012,-0.04
"1027","20","52","0",-0.022,0.016,-0.048,-0.098
"1028","20","54","0",0.156,0.055,0.002,0.029
"1029","20","55","0",0.052,0.096,0.056,-0.006
