population	pop	plant	seed	flower	measdate	Shootthickness	Stemthickness	GAD	ASD	Adepth	Awidth	GSDR	GSDC	GSDL	nMalesR	nMalesC	nMalesL	GWTot	GHR	GHL	GNR	GNL	SWR	SWC	SWL	SLR	Srrs	SLC	Scrs	SLL	Slrs	UBR	UBC	UBL	UBW	LBR	LBC	LBL	LBW																																																																																																																																																																																																																							
C	Comalcalco	9	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	9	3	2	28.11.2008	NA	NA	5.48	1.73	1	2.29	6.06	6.4	5.68	3	3	3	7.37	3.28	3.28	12	10	1.35	1.27	1.22	9.85	4.06	9.36	4.42	9.54	3.94	21.27	23.32	20.98	24.58	21.22	24.99	21.17	22.07																																																																																																																																																																																																																							
C	Comalcalco	9	3	1	28.10.2008	NA	NA	5.92	2.41	1.63	2.5	5.66	7.83	5.89	3	3	3	6.57	3.41	3.17	8	10	1.38	1.33	1.38	9.69	4.29	9.78	3.67	9.84	4.15	23.38	25.9	23.65	27.2	23.02	27.44	24.84	28.35																																																																																																																																																																																																																							
C	Comalcalco	9	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA																																																																																																																																																																																																																							
C	Comalcalco	9	4	1	24.11.2008	NA	NA	5.47	2.58	1.08	2.58	5.86	6.59	7.05	3	3	3	7.1	3.23	3.28	10	11	1.33	1.58	1.46	9.82	4.52	9.77	4.85	10.06	4.86	21.04	22.12	20.69	24.5	20.99	24.91	22.88	26.08																																																																																																																																																																																																																							
C	Comalcalco	9	4	2	24.11.2008	NA	NA	4.72	2.8	1.15	2.61	6.4	6.4	6.35	3	3	3	7.02	3.15	2.9	8	9	1.23	1.41	1.34	9.24	4.29	9	4.5	9.39	4.21	20.24	22.23	20.52	23.11	21.15	23.89	21.58	23.39																																																																																																																																																																																																																							
C	Comalcalco	10	1	1	22.10.2008	NA	NA	5.48	1.28	1.33	2.46	6.14	6.74	7.37	3	3	3	6.92	3.2	2.8	9	10	1.2	1.5	1.47	9.59	3.77	10.44	4.35	10.56	4.34	24.1	27.56	24.05	28.17	23.7	27.33	24.38	27.82																																																																																																																																																																																																																							
C	Comalcalco	10	1	2	28.11.2008	NA	NA	4.94	0.98	0.94	1.83	6.4	5.97	5.69	3	3	2	5.49	1.66	2.26	6	11	0.94	1.13	0.95	8.51	3.86	8.58	4.18	8.31	4.16	17.09	20.47	18.66	17.69	19.78	22.47	19.14	19.99																																																																																																																																																																																																																							
C	Comalcalco	10	4	1	09.12.2008	NA	NA	4.66	4.45	1.11	2.33	5.9	7.59	7.14	3	3	3	7.13	3.02	3.47	8	11	1.41	1.49	1.52	9.6	3.35	9.49	3.58	9.92	4.27	21.83	24.03	21.49	25.64	22.81	26.1	21.33	24.06																																																																																																																																																																																																																							
C	Comalcalco	10	4	2	12.12.2008	NA	NA	4.27	3.3	0.75	1.85	4.5	5.79	5.75	3	3	2	5.24	2.39	1.39	9	5	1.12	1.22	1.08	7.32	3.1	7.42	3.31	7.73	3.07	17.73	20.13	17.42	18.69	19.7	22.18	19.29	20.91																																																																																																																																																																																																																							
