Pop	Patch	Blossom	Seed	ID	GHblossom	Date	ASD	GAD	MF	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
S2	16	1	a	S2.16.1.a	1	26.05.2015	5.08	6.50	10	5.81	6.25	6.65	7.80	3.73	3.62	1.49	1.67	1.49	7.68	7.32	7.83	25.97	26.95	25.30	26.93
S2	16	1	a	S2.16.1.a	2	06.06.2015	4.17	7.78	10	6.06	6.17	6.19	7.27	3.66	3.58	1.34	1.66	1.32	8.31	8.10	8.28	28.44	27.47	27.64	27.68
S2	16	1	a	S2.16.1.a	3	29.06.2015	4.73	6.27	10	5.92	6.05	5.97	7.88	3.14	3.85	1.34	1.23	1.16	7.92	7.69	7.96	27.64	27.66	27.38	30.47
S2	16	1	a	S2.16.1.a	4	10.01.2016	4.09	7.66	10	5.34	6.33	5.42	6.90	3.82	3.45	1.38	1.48	1.42	7.78	7.83	7.91	29.93	27.04	29.79	27.76
S2	16	?	?	S2.16-?.?	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	16	?	?	S2.16-?.?	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	17	1	b	S2.17.1.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	17	1	b	S2.17.1.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	17	1	c	S2.17.1.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	17	1	c	S2.17.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	X2	1	a	S2.X2.1.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S2	X2	1	a	S2.X2.1.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	3	b.1	a	S3.3.b.1.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	3	b.1	a	S3.3.b.1.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	3	b.1	b	S3.3.b.1.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	3	b.1	b	S3.3.b.1.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	7	a	a	S3.7.a.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	7	a	a	S3.7.a.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	7	d.1	d	S3.7.d.1.d	1	24.01.2016	6.05	7.47	10	5.79	6.23	6.33	10.07	4.45	4.75	1.69	1.74	1.86	8.78	8.42	9.26	38.77	32.64	38.21	33.05
S3	7	d.1	d	S3.7.d.1.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	7	d.3	f	S3.7.d.3.f	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	7	d.3	f	S3.7.d.3.f	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	10	1	a	S3.10.1.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	10	1	a	S3.10.1.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	11	b	d	S3.11.b.d	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	11	b	d	S3.11.b.d	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	11	b	g	S3.11.b.g	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	11	b	g	S3.11.b.g	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	15	a.1	e	S3.15.a.1.e	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	15	a.1	e	S3.15.a.1.e	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	15	a.1	g	S3.15.a.1.g	1	07.02.2016	4.66	6.19	10	6.58	7.09	6.05	7.03	3.14	3.11	1.43	1.83	1.51	8.08	7.98	7.97	21.49	17.85	23.07	17.74
S3	15	a.1	g	S3.15.a.1.g	2	09.02.2016	3.99	5.85	10	6.23	7.26	5.52	7.00	2.59	2.93	1.55	1.73	1.60	7.71	7.58	7.06	25.12	20.19	28.07	21.61
S3	15	a.2	c	S3.15.a.2.c	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S3	15	a.2	c	S3.15.a.2.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	2	1	a	S6.2.1.a	1	04.01.2016	2.48	6.27	10	5.82	7.57	5.48	5.51	2.61	2.57	1.52	1.77	1.57	7.91	8.75	8.48	24.57	20.63	26.98	22.18
S6	2	1	a	S6.2.1.a	2	14.01.2016	3.60	5.13	10	3.51	4.53	3.73	6.09	2.83	2.53	1.45	1.41	1.34	6.16	6.34	6.24	23.03	20.08	25.16	23.47
S6	2	1	a	S6.2.1.a	3	03.02.2016	1.96	6.83	10	6.48	7.35	6.11	7.15	3.03	3.05	1.54	1.60	1.59	10.25	10.21	10.75	27.10	20.52	29.63	26.00
S6	2	1	a	S6.2.1.a	4	14.02.2016	1.67	6.92	10	6.64	8.16	7.04	7.40	3.12	3.52	1.59	1.64	1.67	10.15	10.21	9.97	28.70	22.12	28.53	24.31
S6	2	1	h	S6.2.1.h	1	25.01.2016	3.32	6.49	10	5.56	6.69	5.76	7.06	2.84	3.10	1.62	1.75	1.65	8.54	8.84	8.30	22.78	17.38	23.76	20.95
S6	2	1	h	S6.2.1.h	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	4	1	e	S6.4.1.e	1	09.01.2016	2.52	6.11	NA	NA	NA	NA	NA	NA	NA	1.58	1.80	1.47	9.75	9.56	9.28	25.71	23.90	28.38	27.20
S6	4	1	e	S6.4.1.e	2	14.01.2016	3.17	7.33	10	6.62	7.26	5.26	6.81	2.68	2.77	1.72	1.69	1.73	10.01	9.58	9.92	26.15	25.47	28.04	30.93
S6	4	1	e	S6.4.1.e	3	17.02.2016	2.82	6.78	10	5.73	6.39	6.77	6.99	3.00	3.32	1.92	2.06	2.04	9.05	9.35	9.75	25.79	25.17	25.96	26.34
S6	4	1	i	S6.4.1.i	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	4	1	i	S6.4.1.i	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	6	1	a	S6.6.1.a	1	14.01.2016	4.47	4.62	10	4.20	4.40	3.94	6.62	2.72	2.60	1.68	1.49	1.65	5.31	5.56	5.27	18.04	14.50	18.07	14.59
S6	6	1	a	S6.6.1.a	2	15.01.2016	5.54	6.60	10	4.41	5.24	4.60	7.91	3.28	3.02	1.78	1.77	1.73	6.05	6.61	6.38	18.87	16.00	17.42	14.59
S6	6	1	a	S6.6.1.a	3	22.01.2016	6.32	7.16	10	4.61	5.44	5.18	8.25	3.21	3.95	1.85	1.91	1.76	6.93	6.36	6.87	21.05	17.13	20.56	17.91
S6	old5	2	b	S6.old5.2.b	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	old5	2	b	S6.old5.2.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	old5	2	f	S6.old5.2.f	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	old5	2	f	S6.old5.2.f	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	old6	1.1	b	S6.old6.1.1.b	1	09.01.2016	4.16	6.93	10	6.16	5.92	6.79	7.83	3.05	3.43	1.72	1.80	1.86	6.97	NA	7.26	20.83	18.17	21.30	18.47
S6	old6	1.1	b	S6.old6.1.1.b	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	b4	1	a	S6.b4.1.a	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	b4	1	a	S6.b4.1.a	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S6	b4	1	c	S6.b4.1.c	1	05.01.2016	3.83	3.17	9	7.54	7.38	7.28	8.08	3.26	2.90	1.38	1.49	1.53	10.76	10.31	10.70	30.30	23.09	34.26	27.55
S6	b4	1	c	S6.b4.1.c	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S7	1	1	h	S7.1.1.h	1	25.01.2016	4.31	5.12	10	4.56	5.39	4.08	7.09	3.92	3.80	1.08	1.29	1.21	6.72	6.46	7.03	24.68	19.38	23.47	19.06
