country,pop,sire,dam,flowering.start.jd,petal.width.mm,petal.length.mm,fruits,flowers,rosette.size.cm2,inflorescences,leaf.damage.percent
sweden,STUS,STUS24,STUS243,137,3.1666666667,3.4333333333,9,20,1.834509468,1,20
norway,VIS,VIS48,VIS483,148,3.4,3.2666666667,4,14,5.837518973,1,10
sweden,STUS,STUS6,STUS63,140,3.2333333333,3.4,9,64,11.75905984,6,0
norway,VIS,VIS55,VIS551,137,4.2333333333,3.7333333333,8,27,39.90073997,6,0
sweden,STUS,STUS26,STUS262,137,3.2333333333,3.3666666667,18,45,20.61057568,4,0
sweden,STUS,STUS62,STUS623,140,3.3333333333,3.7333333333,16,41,5.416655514,5,0
norway,VIS,VIS70,VIS705,137,3,3.2333333333,14,29,4.62539828,1,0
norway,SPIT,SPIT6,SPIT65,137,2.7,2.8,10,23,13.98668465,4,0
norway,SPIT,SPIT31,SPIT312,140,2.6333333333,3.0666666667,7,13,2.940530724,1,0
sweden,STUS,STUS54,STUS543,140,3.2,2.4666666667,13,29,4.675239647,4,5
sweden,STUC,STUC15,STUC154,140,3.1,3.2666666667,12,35,3.795405209,5,0
sweden,STUS,STUS42,STUS423,146,3,1.8666666667,4,10,4.54156488,2,0
norway,VIS,VIS26,VIS262,146,3.4,2.4666666667,6,10,13.09985232,1,0
sweden,STUC,STUC33,STUC331,140,2.7666666667,2.9,6,15,1.74233514,3,0
sweden,STUS,STUS9,STUS94,151,3.5333333333,3.6,4,10,5.208697788,1,0
sweden,STUC,STUC33,STUC331,146,3.05,1.9,1,3,1.254437947,1,0
sweden,STUS,STUS23,STUS233,140,2.6333333333,3.0333333333,15,44,11.79612278,7,10
sweden,STUC,STUC26,STUC261,144,3.1333333333,3.2,9,18,1.615721102,2,0
sweden,STUS,STUS60,STUS605,146,3.0666666667,3.1333333333,9,12,4.140422768,1,0
sweden,STUC,STUC50,STUC504,144,3.6333333333,3.4666666667,12,25,6.399424235,2,10
sweden,STUS,STUS20,STUS203,137,3.7,3.4333333333,2,15,4.331078172,4,0
sweden,STUC,STUC44,STUC443,144,3.0333333333,3.5666666667,5,11,7.940689591,2,0
norway,VIS,VIS65,VIS653,144,3.1,2.2333333333,7,12,1.29736781,1,0
sweden,STUS,STUS32,STUS321,144,3.2,3.3666666667,6,11,4.847163305,2,0
sweden,STUC,STUC30,STUC304,140,3.1333333333,3.3333333333,9,19,2.799159054,2,0
sweden,STUC,STUC7,STUC74,144,2.9,2.9,7,19,4.037323551,3,0
sweden,STUS,STUS30,STUS304,144,3.3666666667,3.4666666667,6,19,6.27336783,2,0
norway,VIS,VIS57,VIS571,137,2.7666666667,3.2666666667,14,30,2.240505341,4,10
sweden,STUS,STUS1,STUS15,146,2.7,3,5,8,0.8086930729,1,0
norway,VIS,VIS18,VIS181,144,5,4,5,9,6.371055654,1,0
sweden,STUC,STUC15,STUC155,140,2.6,1.9333333333,11,22,2.177280789,4,0
sweden,STUS,STUS15,STUS151,151,2.9,3.2666666667,0,8,2.960393443,5,0
sweden,STUS,STUS38,STUS381,146,4,3.8,6,13,3.430697718,2,0
sweden,STUC,STUC30,STUC305,140,3.2,3.1666666667,4,15,2.341397589,4,0
sweden,STUS,STUS20,STUS205,140,4.1333333333,3.3333333333,11,26,7.942260388,3,0
norway,SPIT,SPIT22,SPIT223,137,2.8666666667,2.4,12,24,6.493672015,1,0
norway,VIS,VIS65,VIS653,144,2.85,2.6333333333,8,22,27.83664719,3,0
norway,VIS,VIS69,VIS691,137,3.6,3.6,13,32,32.49211052,2,0
norway,VIS,VIS60,VIS602,137,3.5,3.8666666667,6,42,45.80536337,7,10
sweden,STUC,STUC65,STUC652,140,2.9333333333,3.4,13,73,16.24862351,5,0
norway,VIS,VIS55,VIS552,137,2.9666666667,3.0333333333,9,22,4.414880156,1,0
sweden,STUC,STUC30,STUC302,140,2,2.6,13,29,3.063681156,3,0
sweden,STUC,STUC26,STUC262,144,2.6,2.7,6,15,1.628601632,3,0
norway,VIS,VIS15,VIS154,144,3.3,2.4333333333,5,15,4.238605392,1,0
norway,VIS,VIS6,VIS62,140,3.0666666667,2.9666666667,14,32,14.03820677,3,0
sweden,STUC,STUC22,STUC223,148,2.6,1.6333333333,0,5,2.138796279,1,0
sweden,STUS,STUS51,STUS511,155,3.5333333333,3.5333333333,3,31,7.610743823,11,0
norway,SPIT,SPIT36,SPIT362,155,2.2,2.2,5,12,3.002263019,1,0
norway,VIS,VIS18,VIS181,137,3.6,3.6333333333,15,34,11.63771583,5,0
sweden,STUC,STUC66,STUC663,144,3.2,3.4666666667,9,24,3.737160081,6,0
norway,SPIT,SPIT10,SPIT101,137,3.3,3.3333333333,43,92,16.22711145,7,0
sweden,STUS,STUS11,STUS115,144,3.0333333333,3.0666666667,4,16,4.38569476,2,0
sweden,STUS,STUS18,STUS181,144,3.2,2.2,8,32,5.967651595,5,0
norway,SPIT,SPIT26,SPIT263,140,2.6666666667,2.5666666667,9,9,1.448305629,1,10
norway,SPIT,SPIT44,SPIT442,137,3.4333333333,3.1666666667,33,79,18.85403269,8,0
norway,VIS,VIS57,VIS573,140,3.8,3.2,3,11,15.00621001,3,0
sweden,STUS,STUS2,STUS21,140,3.2,2.6,9,21,3.051366113,2,0
