Latitude	Longitude	Region	Population	Id	Family	Day_of_flower_start
38.7238	112.266	4	17	6.1	6	18
38.7238	112.266	4	17	6.2	6	30
38.7238	112.266	4	17	6.3	6	21
38.7238	112.266	4	17	7.1	7	23
38.7238	112.266	4	17	7.2	7	28
38.7238	112.266	4	17	8.1	8	24
38.7238	112.266	4	17	8.2	8	23
38.7238	112.266	4	17	8.3	8	31
38.7238	112.266	4	17	8.4	8	30
38.7238	112.266	4	17	8.5	8	23
38.7238	112.266	4	17	9.1	9	28
38.7238	112.266	4	17	9.2	9	22
38.7238	112.266	4	17	13.1	13	24
38.7238	112.266	4	17	13.2	13	24
38.7238	112.266	4	17	13.3	13	24
38.7238	112.266	4	17	13.4	13	18
38.7238	112.266	4	17	14.1	14	33
38.7238	112.266	4	17	14.2	14	27
38.7238	112.266	4	17	15.1	15	20
38.7238	112.266	4	17	15.2	15	24
38.7238	112.266	4	17	15.3	15	22
38.7238	112.266	4	17	15.4	15	21
38.7238	112.266	4	17	15.5	15	15
37.3292	121.6813	4	19	2.1	2	22
37.3292	121.6813	4	19	2.2	2	18
37.3292	121.6813	4	19	3.1	3	23
37.3292	121.6813	4	19	3.2	3	22
37.3292	121.6813	4	19	5.1	5	27
37.3292	121.6813	4	19	5.2	5	28
37.3292	121.6813	4	19	6.1	6	22
37.3292	121.6813	4	19	6.3	6	25
37.3292	121.6813	4	19	9.1	9	24
37.3292	121.6813	4	19	9.2	9	26
37.3292	121.6813	4	19	9.3	9	24
37.3292	121.6813	4	19	10.1	10	21
37.3292	121.6813	4	19	10.2	10	24
37.3292	121.6813	4	19	10.3	10	22
37.3292	121.6813	4	19	10.4	10	23
37.3292	121.6813	4	19	10.5	10	21
37.3292	121.6813	4	19	13.1	13	37
37.3292	121.6813	4	19	13.2	13	33
37.3292	121.6813	4	19	15.1	15	23
37.3292	121.6813	4	19	15.2	15	23
37.3292	121.6813	4	19	15.3	15	22
37.3292	121.6813	4	19	15.4	15	22
37.3292	121.6813	4	19	15.5	15	30
37.3292	121.6813	4	19	16.1	16	27
37.3292	121.6813	4	19	16.2	16	28
37.3292	121.6813	4	19	16.3	16	24
37.3292	121.6813	4	19	16.4	16	22
37.3292	121.6813	4	19	16.5	16	21
37.3292	121.6813	4	19	17.1	17	26
37.3292	121.6813	4	19	17.2	17	33
37.3292	121.6813	4	19	19.1	19	20
37.3292	121.6813	4	19	19.2	19	17
37.3292	121.6813	4	19	19.3	19	24
37.3292	121.6813	4	19	19.4	19	20
37.3292	121.6813	4	19	19.5	19	18
37.3292	121.6813	4	19	20.1	20	22
37.3292	121.6813	4	19	20.2	20	20
37.3292	121.6813	4	19	20.3	20	23
37.3292	121.6813	4	19	20.4	20	20
37.3292	121.6813	4	19	20.5	20	25
34.5615	119.5615	2	61	3.1	3	22
34.5615	119.5615	2	61	3.2	3	22
34.5615	119.5615	2	61	3.3	3	18
34.5615	119.5615	2	61	3.4	3	19
34.5615	119.5615	2	61	3.5	3	19
34.5615	119.5615	2	61	4.1	4	25
34.5615	119.5615	2	61	4.2	4	25
34.5615	119.5615	2	61	4.3	4	30
34.5615	119.5615	2	61	4.4	4	23
34.5615	119.5615	2	61	4.5	4	19
34.5615	119.5615	2	61	7.1	7	25
34.5615	119.5615	2	61	7.2	7	23
34.5615	119.5615	2	61	7.3	7	30
34.5615	119.5615	2	61	7.4	7	21
34.5615	119.5615	2	61	7.5	7	24
34.5615	119.5615	2	61	10.1	10	28
34.5615	119.5615	2	61	10.2	10	24
34.5615	119.5615	2	61	10.3	10	27
34.5615	119.5615	2	61	10.4	10	37
34.5615	119.5615	2	61	10.5	10	29
34.5615	119.5615	2	61	13.1	13	25
34.5615	119.5615	2	61	13.2	13	38
34.5615	119.5615	2	61	15.1	15	27
34.5615	119.5615	2	61	15.2	15	18
34.5615	119.5615	2	61	15.3	15	36
34.5615	119.5615	2	61	15.4	15	28
34.5615	119.5615	2	61	15.5	15	28
34.5615	119.5615	2	61	17.1	17	22
34.5615	119.5615	2	61	17.2	17	23
34.5615	119.5615	2	61	17.3	17	29
34.5615	119.5615	2	61	17.4	17	17
34.5615	119.5615	2	61	17.5	17	22
34.5615	119.5615	2	61	18.1	18	25
34.5615	119.5615	2	61	18.2	18	22
34.5615	119.5615	2	61	18.3	18	31
34.5615	119.5615	2	61	18.4	18	29
34.5615	119.5615	2	61	18.5	18	29
34.5615	119.5615	2	61	19.1	19	20
34.5615	119.5615	2	61	19.2	19	22
34.5615	119.5615	2	61	19.3	19	19
34.5615	119.5615	2	61	19.4	19	23
34.5615	119.5615	2	61	19.5	19	20
34.5615	119.5615	2	61	22.1	22	20
34.5615	119.5615	2	61	22.2	22	18
34.5615	119.5615	2	61	22.3	22	11
34.5615	119.5615	2	61	22.4	22	9
34.5615	119.5615	2	61	22.5	22	14
34.5615	119.5615	2	61	23.1	23	17
34.5615	119.5615	2	61	23.2	23	13
34.5615	119.5615	2	61	23.3	23	23
34.5615	119.5615	2	61	23.5	23	22
34.5615	119.5615	2	61	24.1	24	23
34.5615	119.5615	2	61	24.2	24	21
34.5615	119.5615	2	61	24.3	24	28
34.5615	119.5615	2	61	24.4	24	17
34.5615	119.5615	2	61	24.5	24	30
34.5615	119.5615	2	61	26.1	26	28
34.5615	119.5615	2	61	26.2	26	23
34.5615	119.5615	2	61	26.3	26	24
34.5615	119.5615	2	61	26.4	26	25
34.5615	119.5615	2	61	26.5	26	30
34.5615	119.5615	2	61	27.1	27	29
34.5615	119.5615	2	61	27.2	27	24
34.5615	119.5615	2	61	27.3	27	18
34.5615	119.5615	2	61	27.4	27	17
34.5615	119.5615	2	61	27.5	27	24
34.5615	119.5615	2	61	29.1	29	20
34.5615	119.5615	2	61	29.2	29	29
34.5615	119.5615	2	61	29.3	29	20
34.5615	119.5615	2	61	29.4	29	23
34.5615	119.5615	2	61	29.5	29	24
34.5615	119.5615	2	61	30.1	30	22
34.5615	119.5615	2	61	30.2	30	17
34.5615	119.5615	2	61	30.3	30	21
34.5615	119.5615	2	61	30.4	30	28
34.5615	119.5615	2	61	31.1	31	17
34.5615	119.5615	2	61	31.2	31	22
34.5615	119.5615	2	61	31.3	31	15
34.5615	119.5615	2	61	31.4	31	23
34.5615	119.5615	2	61	31.5	31	26
34.5615	119.5615	2	61	32.1	32	22
34.5615	119.5615	2	61	32.2	32	18
34.5615	119.5615	2	61	32.3	32	22
34.5615	119.5615	2	61	32.4	32	15
34.5615	119.5615	2	61	32.5	32	18
34.5615	119.5615	2	61	34.1	34	24
34.5615	119.5615	2	61	34.2	34	23
34.5615	119.5615	2	61	34.3	34	24
34.5615	119.5615	2	61	34.4	34	22
34.5615	119.5615	2	61	34.5	34	22
34.7392	120.0635	2	72	1.1	1	10
34.7392	120.0635	2	72	1.2	1	14
34.7392	120.0635	2	72	2.3	2	14
34.7392	120.0635	2	72	2.4	2	15
34.7392	120.0635	2	72	2.5	2	12
34.7392	120.0635	2	72	3.1	3	12
34.7392	120.0635	2	72	3.2	3	11
34.7392	120.0635	2	72	3.3	3	15
34.7392	120.0635	2	72	3.4	3	12
34.7392	120.0635	2	72	3.5	3	15
34.7392	120.0635	2	72	5.1	5	9
34.7392	120.0635	2	72	5.2	5	10
34.7392	120.0635	2	72	5.3	5	11
34.7392	120.0635	2	72	5.4	5	18
34.7392	120.0635	2	72	6.2	6	11
34.7392	120.0635	2	72	6.3	6	14
34.7392	120.0635	2	72	6.4	6	13
34.7392	120.0635	2	72	6.5	6	9
34.7392	120.0635	2	72	7.1	7	9
34.7392	120.0635	2	72	7.2	7	11
34.7392	120.0635	2	72	7.3	7	9
34.7392	120.0635	2	72	7.4	7	8
34.7392	120.0635	2	72	7.5	7	12
34.7392	120.0635	2	72	9.2	9	9
34.7392	120.0635	2	72	9.4	9	14
34.7392	120.0635	2	72	9.5	9	14
34.7392	120.0635	2	72	11.1	11	12
34.7392	120.0635	2	72	11.2	11	15
34.7392	120.0635	2	72	11.5	11	12
34.7392	120.0635	2	72	12.1	12	12
34.7392	120.0635	2	72	12.3	12	12
34.7392	120.0635	2	72	12.4	12	13
34.7392	120.0635	2	72	12.5	12	18
34.7392	120.0635	2	72	13.2	13	15
34.7392	120.0635	2	72	13.3	13	16
34.7392	120.0635	2	72	13.4	13	14
34.7392	120.0635	2	72	14.1	14	14
34.7392	120.0635	2	72	16.2	16	12
34.7392	120.0635	2	72	16.3	16	14
34.7392	120.0635	2	72	16.4	16	15
34.7392	120.0635	2	72	17.1	17	10
34.7392	120.0635	2	72	17.2	17	12
34.7392	120.0635	2	72	17.5	17	12
34.7392	120.0635	2	72	18.1	18	15
34.7392	120.0635	2	72	18.2	18	12
34.7392	120.0635	2	72	18.4	18	15
34.7392	120.0635	2	72	18.5	18	14
34.7392	120.0635	2	72	20.2	20	11
34.7392	120.0635	2	72	20.3	20	9
34.7392	120.0635	2	72	20.5	20	13
37.6388	119.9284	3	91	3.1	3	8
37.6388	119.9284	3	91	3.2	3	16
37.6388	119.9284	3	91	3.4	3	15
37.6388	119.9284	3	91	5.1	5	12
37.6388	119.9284	3	91	5.4	5	9
37.6388	119.9284	3	91	5.5	5	6
38.5845	122.3733	4	142	3.1	3	29
38.5845	122.3733	4	142	3.2	3	28
38.5845	122.3733	4	142	3.3	3	18
38.5845	122.3733	4	142	4.1	4	18
38.5845	122.3733	4	142	4.2	4	24
38.5845	122.3733	4	142	4.3	4	38
38.5845	122.3733	4	142	4.4	4	24
38.5845	122.3733	4	142	5.1	5	18
38.5845	122.3733	4	142	5.2	5	21
38.5845	122.3733	4	142	5.3	5	35
38.5845	122.3733	4	142	5.4	5	29
38.5845	122.3733	4	142	9.1	9	23
38.5845	122.3733	4	142	9.2	9	22
38.5845	122.3733	4	142	10.1	10	21
38.5845	122.3733	4	142	10.2	10	23
38.5845	122.3733	4	142	10.3	10	20
38.5845	122.3733	4	142	10.4	10	29
38.5845	122.3733	4	142	12.1	12	24
38.5845	122.3733	4	142	12.2	12	23
