animal,dam,sire
51298,46.10.121,4.10.051
51299,47.10.137,41.10.020
51300,57.10.028,57.10.028
51302,2.10.018,33.10.083
51303,68.10.089,65.10.131
51304,56.10.191,41.10.020
51305,68.10.089,46.10.121
51306,41.10.020,51.10.044
51307,56.10.191,56.10.191
51308,21.10.175,21.10.175
51309,76.10.197,8.10.071
51310,41.10.020,51.10.044
51311,57.10.028,52.10.006
51313,39.10.187,63.10.161
51317,36.10.112,36.10.112
51318,8.10.071,76.10.197
51319,8.10.071,76.10.197
51322,21.10.175,21.10.175
51323,76.10.197,71.10.196
51325,8.10.071,21.10.175
51327,76.10.197,76.10.197
51328,57.10.028,57.10.028
51329,21.10.175,76.10.197
51330,69.10.034,44.10.118
51331,56.10.191,56.10.191
51332,76.10.197,8.10.071
51334,56.10.191,6.10.069
51335,21.10.175,36.10.112
51336,24.10.077,69.10.034
51338,19.10.172,26.10.103
51339,9.10.165,63.10.161
51340,68.10.089,27.10.181
51341,23.10.188,23.10.188
51342,27.10.181,65.10.131
51343,24.10.077,24.10.077
51344,28.10.183,63.10.161
51345,28.10.183,63.10.161
51347,38.10.185,59.10.030
51348,13.10.170,63.10.161
51349,76.10.197,36.10.112
51350,83.10.075,26.10.103
51351,14.10.054,38.10.185
51353,76.10.197,36.10.112
51354,76.10.197,21.10.175
51355,69.10.034,5.10.207
51356,44.10.118,69.10.034
51358,12.10.167,23.10.188
51359,33.10.083,33.10.083
51360,76.10.197,21.10.175
51361,44.10.118,69.10.034
51362,59.10.030,12.10.167
51363,63.10.161,28.10.183
51364,82.10.133,58.10.029
51365,41.10.020,6.10.069
51366,56.10.191,41.10.020
51367,21.10.175,76.10.197
51368,8.10.071,8.10.071
51370,44.10.118,44.10.118
51371,83.10.075,19.10.172
51372,23.10.188,14.10.054
51373,33.10.083,15.10.007
51374,66.10.162,52.10.006
51377,71.10.196,21.10.175
51378,44.10.118,44.10.118
51379,84.10.040,26.10.103
51380,71.10.196,76.10.197
51381,39.10.187,39.10.187
51382,66.10.162,55.10.002
51383,71.10.196,76.10.197
51385,7.10.061,84.10.040
51386,71.10.196,36.10.112
51387,69.10.034,69.10.034
51388,24.10.077,69.10.034
51389,63.10.161,39.10.187
51390,46.10.121,65.10.131
51392,69.10.034,69.10.034
51393,6.10.069,6.10.069
51394,71.10.196,71.10.196
51395,44.10.118,24.10.077
51396,14.10.054,23.10.188
51397,55.10.002,55.10.002
51398,76.10.197,76.10.197
51399,71.10.196,71.10.196
51400,44.10.118,24.10.077
51401,47.10.137,56.10.191
51402,69.10.034,5.10.207
51403,55.10.002,52.10.006
51404,26.10.103,7.10.061
51405,55.10.002,52.10.006
51407,84.10.040,7.10.061
51408,73.10.037,57.10.028
51409,33.10.083,82.10.133
51410,13.10.170,9.10.165
51411,13.10.170,9.10.165
51412,24.10.077,24.10.077
51414,81.10.142,74.10.046
51415,25.10.081,72.10.141
51416,34.10.109,3.10.116
51417,10.10.052,10.10.052
51418,11.10.143,62.10.127
51419,48.10.064,31.10.107
51420,72.10.141,74.10.046
51421,25.10.081,25.10.081
51422,20.10.173,3.10.116
